episode,total_reward,steps,terminated,truncated,success,final_layer,final_position,has_key,door_open,terminal_activated,has_portal_core,portal_open,has_lab_key,machine_used,has_result
217,-26.450000000000024,100,False,True,False,0,"(6, 5)",True,True,False,True,False,False,False,False
218,-33.40000000000003,100,False,True,False,0,"(6, 6)",False,False,False,True,False,False,False,False
219,-45.54999999999999,100,False,True,False,0,"(1, 2)",False,False,False,False,False,False,False,False
220,-30.050000000000022,100,False,True,False,0,"(6, 5)",True,True,False,True,False,False,False,False
221,-34.800000000000026,100,False,True,False,0,"(1, 1)",False,False,False,False,False,False,False,False
222,-39.25000000000001,100,False,True,False,0,"(2, 1)",False,False,False,False,False,False,False,False
223,-27.350000000000023,100,False,True,False,0,"(5, 6)",False,False,True,False,False,False,False,False
224,-33.25000000000002,100,False,True,False,0,"(2, 1)",False,False,True,False,False,False,False,False
225,-34.60000000000002,100,False,True,False,0,"(1, 3)",True,False,False,False,False,False,False,False
226,-32.85000000000002,100,False,True,False,0,"(6, 3)",False,False,False,True,False,False,False,False
227,-42.8,100,False,True,False,0,"(6, 2)",False,False,False,False,False,False,False,False
228,-33.15000000000002,100,False,True,False,0,"(6, 3)",False,False,True,False,False,False,False,False
229,-32.050000000000026,100,False,True,False,0,"(2, 1)",False,False,False,False,False,False,False,False
230,-42.99999999999999,100,False,True,False,0,"(5, 1)",False,False,False,False,False,False,False,False
231,-35.550000000000026,100,False,True,False,0,"(1, 6)",False,False,True,False,False,False,False,False
232,-37.90000000000001,100,False,True,False,0,"(4, 6)",False,False,False,False,False,False,False,False
233,-26.50000000000002,100,False,True,False,0,"(5, 3)",False,False,False,True,False,False,False,False
234,-23.25000000000002,100,False,True,False,0,"(6, 5)",False,False,False,True,False,False,False,False
235,-37.45000000000002,100,False,True,False,0,"(1, 4)",False,False,False,False,False,False,False,False
236,-34.75000000000003,100,False,True,False,0,"(3, 4)",True,True,False,False,False,False,False,False
237,-33.700000000000024,100,False,True,False,0,"(2, 6)",True,False,False,False,False,False,False,False
238,-26.400000000000034,100,False,True,False,0,"(4, 6)",False,False,False,False,False,False,False,False
239,-35.75000000000002,100,False,True,False,0,"(1, 4)",False,False,False,False,False,False,False,False
240,-32.80000000000002,100,False,True,False,0,"(1, 3)",True,False,False,False,False,False,False,False
241,-26.250000000000014,100,False,True,False,0,"(1, 6)",True,True,False,False,False,False,False,False
242,-32.50000000000001,100,False,True,False,0,"(5, 5)",True,False,False,True,False,False,False,False
243,-37.250000000000014,100,False,True,False,0,"(3, 2)",False,False,False,False,False,False,False,False
244,-40.10000000000001,100,False,True,False,0,"(3, 1)",False,False,False,False,False,False,False,False
245,-31.900000000000023,100,False,True,False,0,"(1, 5)",True,False,False,False,False,False,False,False
246,-30.450000000000017,100,False,True,False,0,"(1, 6)",False,False,True,False,False,False,False,False
247,-29.150000000000034,100,False,True,False,0,"(3, 6)",False,False,True,False,False,False,False,False
248,-26.000000000000025,100,False,True,False,0,"(3, 5)",True,True,True,False,False,False,False,False
249,-35.50000000000002,100,False,True,False,0,"(4, 4)",False,False,False,False,False,False,False,False
250,-27.900000000000027,100,False,True,False,0,"(4, 6)",False,False,False,True,False,False,False,False
251,-32.550000000000026,100,False,True,False,0,"(5, 2)",True,True,False,False,False,False,False,False
252,-29.050000000000026,100,False,True,False,0,"(4, 1)",True,True,False,False,False,False,False,False
253,-34.40000000000003,100,False,True,False,0,"(3, 1)",False,False,False,False,False,False,False,False
254,-32.60000000000002,100,False,True,False,0,"(3, 5)",False,False,True,True,False,False,False,False
255,-38.400000000000006,100,False,True,False,0,"(1, 3)",False,False,False,False,False,False,False,False
256,-30.55000000000003,100,False,True,False,0,"(5, 2)",False,False,True,False,False,False,False,False
257,-33.40000000000002,100,False,True,False,0,"(6, 6)",False,False,False,False,False,False,False,False
258,-33.25000000000002,100,False,True,False,0,"(3, 2)",True,False,False,False,False,False,False,False
259,-38.10000000000002,100,False,True,False,0,"(6, 6)",False,False,False,False,False,False,False,False
260,-24.200000000000017,100,False,True,False,0,"(6, 4)",True,False,True,True,False,False,False,False
261,-28.95000000000003,100,False,True,False,0,"(1, 6)",False,False,False,False,False,False,False,False
262,-25.05000000000003,100,False,True,False,0,"(5, 4)",False,False,False,True,False,False,False,False
263,-34.350000000000016,100,False,True,False,0,"(1, 4)",True,False,True,False,False,False,False,False
264,-31.40000000000003,100,False,True,False,0,"(6, 4)",False,False,False,True,False,False,False,False
265,-25.800000000000022,100,False,True,False,0,"(6, 6)",True,False,True,False,False,False,False,False
266,-27.150000000000027,100,False,True,False,0,"(1, 2)",True,True,False,False,False,False,False,False
267,-34.50000000000002,100,False,True,False,0,"(3, 5)",False,False,True,False,False,False,False,False
268,-35.65000000000002,100,False,True,False,0,"(4, 1)",False,False,False,False,False,False,False,False
269,-25.10000000000002,100,False,True,False,0,"(1, 5)",True,True,True,False,False,False,False,False
270,-30.100000000000023,100,False,True,False,0,"(1, 5)",True,True,True,False,False,False,False,False
