episode,total_reward,steps,terminated,truncated,success,final_layer,final_position,has_key,door_open,terminal_activated,has_portal_core,portal_open,has_lab_key,machine_used,has_result,epsilon
180,17.700000000000003,55,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.40769130904675194
181,18.300000000000004,52,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.40565285250151817
182,15.000000000000005,64,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.4036245882390106
183,-14.000000000000007,100,False,True,False,1,"(1, 1)",True,True,True,True,True,True,True,True,0.4016064652978155
184,18.800000000000004,68,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3995984329713264
185,8.000000000000002,78,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3976004408064698
186,-10.249999999999996,100,False,True,False,0,"(6, 5)",True,True,False,True,False,False,False,False,0.39561243860243744
187,19.300000000000004,50,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3936343764094253
188,17.400000000000006,61,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.39166620452737816
189,13.700000000000003,54,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3897078735047413
190,-10.699999999999992,100,False,True,False,0,"(5, 3)",True,True,False,True,False,False,False,False,0.3877593341372176
191,17.800000000000008,62,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3858205374665315
192,21.9,43,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.38389143477919885
193,18.200000000000003,54,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3819719776053028
194,16.3,47,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3800621177172763
195,23.09999999999999,37,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.37816180712868996
196,-7.449999999999992,100,False,True,False,1,"(2, 1)",True,True,True,True,True,False,False,False,0.37627099809304654
197,17.900000000000006,69,True,False,True,1,"(5, 5)",True,True,True,True,True,True,True,True,0.3743896431025813
